"outcome","pathway_id","exposure","exposure_label","scale","model_structure","family","offset_policy","n_months","data_status","se_method","term","estimate","std_error","statistic","p_value","rr","rr_low","rr_high","q_value_core_bh","manuscript_role"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","I(hot_nights/5)",0.0215894730883367,0.0108858810034039,1.98325455528918,0.0473390028116081,1.02182421201542,1.0002531783659,1.04386043738117,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(hot_nights/5)",0.0215894730883367,0.0100701246721816,2.14391318788506,0.0320398433085943,1.02182421201542,1.00185374479531,1.04219276085479,0.192239059851566,"amended_core_candidate"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","model","I(hot_nights/5)",0.0232982288778818,0.0138879119276513,1.67759048295044,0.0934270719890439,1.0235717526885,0.996085602804059,1.0518163599117,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","HC1","I(hot_nights/5)",0.0232982288778818,0.0119832851286362,1.9442271987843,0.0518680592598791,1.0235717526885,0.999811007887015,1.04789717720353,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","I(hot_nights/5)",0.0232982288778818,0.010909684422591,2.13555479475075,0.032715719402358,1.0235717526885,1.00191708266739,1.04569445019596,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","days_only",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(hot_nights/5)",0.0232982288778818,0.0102663237087412,2.26938381633581,0.0232449954778155,1.0235717526885,1.00318128398606,1.04437667411305,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","model","I(hot_nights/5)",0.0212334451217864,0.0136604232950128,1.55437680540532,0.12009456257327,1.02146047877249,0.994474338403923,1.04917891734511,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","I(hot_nights/5)",0.0212334451217864,0.0123194309143219,1.72357353756508,0.0847848591122917,1.02146047877249,0.99709159814884,1.046424933909,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","I(hot_nights/5)",0.0212334451217864,0.010773142870574,1.97096106279106,0.0487283297014622,1.02146047877249,1.00011809206778,1.04325830916316,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","negative_binomial","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag6","I(hot_nights/5)",0.0212334451217864,0.0100180338998468,2.11952218709412,0.034046360729508,1.02146047877249,1.00159937631829,1.04171541472941,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","model","I(hot_nights/5)",0.023016336949866,0.0139831857075246,1.64600094937454,0.0997635635551913,1.02328325673793,0.995618918025164,1.05171627875166,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","HC1","I(hot_nights/5)",0.023016336949866,0.0119522667590587,1.92568802335522,0.054143340232434,1.02328325673793,0.99958997818404,1.0475381370094,,"sensitivity"
"chd","P04A","hot_nights","Hot nights (per 5 days)",5,"single_exposure","quasipoisson","population_x_days",132,"HA_APPROVED_AGGREGATE","NeweyWest_lag3","I(hot_nights/5)",0.023016336949866,0.0108377749757634,2.12371423113486,0.0336940466566325,1.02328325673793,1.00177587299543,1.04525238803087,,"sensitivity"
